Molecule smiles gap(eV)
P4 P12P3P1P23 6.285
PH3 P 8.145
MePH2 CP 7.217
Me3P CP(C)C 7.052
Me3PO CP(C)(C)=O 7.562
P2H4 PP 6.745
PPh3 C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1 5.1
PPh3O O=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1 5.97
PPh3CH2 C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1 3.593
H3PO2 O=[PH2]O 8.135
H3PO3 O=[PH](O)O 8.663
H3PO4 O=P(O)(O)O 7.909
PF5 FP(F)(F)(F)F 11.453
H2S2 SS 5.829
S8 S1SSSSSSS1 4.772
Me2S CSC 6.659
DMSO CS(C)=O 6.981
DMSO2 CS(C)(=O)=O 8.557
H2S2O3 O=[SH](O)(O)S 6.509
H2SO4 O=S(=O)(O)O 8.876
MeHSO4 COS(=O)(=O)O 8.475
MeSO3H CS(=O)(=O)O 8.786
MeSO2NH2 CS(N)(=O)=O 8.671
PhSO3H O=S(=O)(O)C1=CC=CC=C1 6.119
mX CC1=CC(C)=CC=C1 6.241
mF FC1=CC(F)=CC=C1 6.239
mCl ClC1=CC(Cl)=CC=C1 5.978
mCN N#CC1=CC(C#N)=CC=C1 5.509
mOH OC1=CC(O)=CC=C1 5.799
mOMe COC1=CC(OC)=CC=C1 5.765
mCHO O=CC1=CC(C=O)=CC=C1 4.848
3Me CC1=CC(C)=CC(C)=C1 6.258
3CN N#CC1=CC(C#N)=CC(C#N)=C1 5.513
3OMe COC1=CC(OC)=CC(OC)=C1 6.209
mAc CC(=O)C1=CC(C(C)=O)=CC=C1 4.882
mCOOH O=C(O)C1=CC(C(=O)O)=CC=C1 5.58
3CHO O=CC1=CC(C=O)=CC(C=O)=C1 4.815
3Ac CC(=O)C1=CC(C(C)=O)=CC(C(C)=O)=C1 4.889
3COOH O=C(O)C1=CC(C(=O)O)=CC(C(=O)O)=C1 5.684
oOMe COC1=C(OC)C=CC=C1 5.659
oCHO O=CC1=C(C=O)C=CC=C1 4.533
oAc CC(=O)C1=C(C(C)=O)C=CC=C1 4.993
oCOOH O=C(O)C1=C(C(=O)O)C=CC=C1 5.522
mNH2 NC1=CC(N)=CC=C1 5.414
oNH2 NC1=C(N)C=CC=C1 5.396
3NH2 NC1=CC(N)=CC(N)=C1 5.768
3NO2 O=[N+]([O-])C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1 5.239
PhNHPhNHPh C1=CC=C(NC2=CC=C(NC3=CC=CC=C3)C=C2)C=C1 4.267
HydroxyQ O=C1C=CC(=O)C(O)=C1 3.657
HydroxyNQ O=C1C=C(O)C(=O)C2=C1C=CC=C2 3.835
HydroxyAQ O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2O 3.488
PAQ O=C1C=CC(=O)C(NC2=CC=CC=C2)=C1 2.72
PANQ O=C1C=C(NC2=CC=CC=C2)C(=O)C2=C1C=CC=C2 2.959
PAAQ O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2NC1=CC=CC=C1 2.779
ClQ O=C1C=CC(=O)C(Cl)=C1 3.893
ClNQ O=C1C=C(Cl)C(=O)C2=C1C=CC=C2 4.043
ClAQ O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2Cl 3.956
CNQ N#CC1=CC(=O)C=CC1=O 3.787
CNNQ N#CC1=CC(=O)C2=C(C=CC=C2)C1=O 3.908
CNAQ N#CC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 4.058
Acrolein C=CC=O 5.17
1_Methyl C=CC(C)=O 5.14
2_Methyl C=C(C)C=O 5.289
3_Methyl_E C/C=C/C=O 5.262
3_Methyl_Z C/C=CC=O 5.132
Carboxylic C=CC(=O)O 6.141
Ester C=CC(=O)OC 6.156
Amide C=CC(N)=O 5.816
MethylAmide C=CC(=O)NC 5.863
DiMethylAmide C=CC(=O)N(C)C 5.406
COF C=CC(=O)F 6.241
COCl C=CC(=O)Cl 5.701
Anhydride C=CC(=O)OC(C)=O 5.615
Imide C=CC(=O)NC(C)=O 5.006
Acetylene C#CC=O 5.463
Propanal CCC=O 6.116
Allyl_alcohol C=CCO 7.033
Propenol C/C=C/O 6.656
1_Vinyl C=CC(=O)C=C 4.996
2_Vinyl C=CC(=C)C=O 4.858
3_Vinyl_E C=C/C=C/C=O 4.658
3_Vinyl_Z C=C/C=CC=O 4.675
1-Carbonyl C=CC(=O)C=O 4.046
2-Carbonyl C=C(C=O)C=O 4.21
3-Carbonyl_E O=C/C=C/C=O 4.28
3-Carbonyl_Z O=C/C=CC=O 4.274
2_Hydroxyl C=C(O)C=O 4.942
3_Hydroxyl_E O=C/C=C/O 5.439
3_Hydroxyl_Z O=C/C=CO 5.183
Dihydroxyl O=C/C(O)=C/O 4.778
Imine_E C=CC=N 5.918
Imine_Z C=CC=N 5.867
Cyanoacetylene C#CC#N 6.828
2_Amino C=C(N)C=O 4.585
3_Amino_E N/C=C/C=O 5.435
3_Amino_Z N/C=CC=O 5.104
CH2 O=C1C=CC(=O)C1 4.227
NH O=C1C=CC(=O)N1 4.762
O O=C1C=CC(=O)O1 4.985
MQ CC1=CC(=O)C=CC1=O 3.851
MNQ CC1=CC(=O)C2=C(C=CC=C2)C1=O 4.012
MAQ CC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 4.123
AminoBQ NC1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.229
HydroxylBQ O=C1C=CC(=C2C=CC(=O)C(O)=C2)C=C1 2.435
PhenylAminoBQ O=C1C=CC(=C2C=CC(=O)C(NC3=CC=CC=C3)=C2)C=C1 2.004
ClBQ O=C1C=CC(=C2C=CC(=O)C(Cl)=C2)C=C1 2.626
CNBQ N#CC1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.64
MBQ CC1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.69
PhBQ O=C1C=CC(=C2C=CC(=O)C(C3=CC=CC=C3)=C2)C=C1 2.441
PhQ O=C1C=CC(=O)C(C2=CC=CC=C2)=C1 3.3
PhNQ O=C1C=C(C2=CC=CC=C2)C(=O)C2=C1C=CC=C2 3.524
PhAQ O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2C1=CC=CC=C1 3.446
C60 C12=C3C4=C5C6=C3C3=C7C8=C9C3=C1C1=C3C2=C2C4=C4C%10=C2C2=C3C3=C%11C2=C2C%10=C%10C%12=C%13C(=C%14C6=C7C6=C%14C7=C%14C%15=C6C8=C6C8=C9C1=C3C8=C1C%11=C3C2=C%10C(=C%137)C%14=C3C1=C6%15)C5=C4%12 2.711
NitroQ O=C1C=CC(=O)C([N+](=O)[O-])=C1 3.699
oTerphenyl C1=CC=C(C2=CC=CC=C2C2=CC=CC=C2)C=C1 5.018
mTerphenyl C1=CC=C(C2=CC=CC(C3=CC=CC=C3)=C2)C=C1 5.004
NitroNQ O=C1C=C([N+](=O)[O-])C(=O)C2=C1C=CC=C2 3.85
NitroAQ O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2[N+](=O)[O-] 4.137
Triphenylbenzene C1=CC=C(C2=CC(C3=CC=CC=C3)=CC(C3=CC=CC=C3)=C2)C=C1 5.009
NitroBQ O=C1C=CC(=C2C=CC(=O)C([N+](=O)[O-])=C2)C=C1 2.682
CF3Q O=C1C=CC(=O)C(C(F)(F)F)=C1 3.802
CF3NQ O=C1C=C(C(F)(F)F)C(=O)C2=C1C=CC=C2 3.949
CF3AQ O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2C(F)(F)F 4.148
CF3BQ O=C1C=CC(=C2C=CC(=O)C(C(F)(F)F)=C2)C=C1 2.733
AcQ CC(=O)C1=CC(=O)C=CC1=O 3.324
AcNQ CC(=O)C1=CC(=O)C2=C(C=CC=C2)C1=O 3.576
AcAQ CC(=O)C1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 3.65
AcBQ CC(=O)C1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.701
MeOQ COC1=CC(=O)C=CC1=O 3.91
MeONQ COC1=CC(=O)C2=C(C=CC=C2)C1=O 4.082
MeOAQ COC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 3.746
MeOBQ COC1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.354
MeNHQ CNC1=CC(=O)C=CC1=O 3.115
MeNHNQ CNC1=CC(=O)C2=C(C=CC=C2)C1=O 3.335
MeNHAQ CNC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 2.989
MeNHBQ CNC1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.152
VinylQ C=CC1=CC(=O)C=CC1=O 3.524
VinylNQ C=CC1=CC(=O)C2=C(C=CC=C2)C1=O 3.701
VinylAQ C=CC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 3.693
VinylBQ C=CC1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.454
CCQ C#CC1=CC(=O)C=CC1=O 3.704
CCNQ C#CC1=CC(=O)C2=C(C=CC=C2)C1=O 3.854
CCAQ C#CC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O 3.792
CCBQ C#CC1=CC(=C2C=CC(=O)C=C2)C=CC1=O 2.52
MeN CC1=CC=CC2=C1C=CC=C2 4.655
MeA CC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.447
MeB CC1=CC=C(C2=CC=CC=C2)C=C1 5.136
MeP CC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.797
NH2A NC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.208
NH2P NC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.806
OHN OC1=CC=CC2=C1C=CC=C2 4.557
OHA OC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.351
OHB OC1=CC=C(C2=CC=CC=C2)C=C1 5.018
OHP OC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.805
NHMe CNC1=CC=CC=C1 5.342
NHMeN CNC1=CC=CC2=C1C=CC=C2 4.236
NHMeA CNC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.334
NHMeB CNC1=CC=C(C2=CC=CC=C2)C=C1 4.687
NHMeP CNC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.774
OMeN COC1=CC=CC2=C1C=CC=C2 4.568
OMeA COC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.443
OMeB COC1=CC=C(C2=CC=CC=C2)C=C1 4.969
OMeP COC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.8
NHPhN C1=CC=C(NC2=CC=CC3=C2C=CC=C3)C=C1 3.934
NHPhA C1=CC=C(NC2=C3C=CC=CC3=CC3=C2C=CC=C3)C=C1 3.245
NHPhB C1=CC=C(NC2=CC=C(C3=CC=CC=C3)C=C2)C=C1 4.284
NHPhP C1=CC=C(NC2=CC3=C4C(=C2)C=CC2=C4C(=CC=C2)C=C3)C=C1 3.594
ClN ClC1=CC=CC2=C1C=CC=C2 4.587
ClA ClC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.425
ClB ClC1=CC=C(C2=CC=CC=C2)C=C1 5.068
ClP ClC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.807
CNN N#CC1=CC=CC2=C1C=CC=C2 4.392
CNA N#CC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.322
CNB N#CC1=CC=C(C2=CC=CC=C2)C=C1 4.766
CNP N#CC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.825
NO2N O=[N+]([O-])C1=CC=CC2=C1C=CC=C2 3.919
NO2A O=[N+]([O-])C1=C2C=CC=CC2=CC2=C1C=CC=C2 3.245
NO2B O=[N+]([O-])C1=CC=C(C2=CC=CC=C2)C=C1 4.152
NO2P O=[N+]([O-])C1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.389
CF3N FC(F)(F)C1=CC=CC2=C1C=CC=C2 4.67
CF3A FC(F)(F)C1=C2C=CC=CC2=CC2=C1C=CC=C2 3.473
CF3B FC(F)(F)C1=CC=C(C2=CC=CC=C2)C=C1 5.111
CF3P FC(F)(F)C1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.816
AcN CC(=O)C1=CC=CC2=C1C=CC=C2 4.152
AcA CC(=O)C1=C2C=CC=CC2=CC2=C1C=CC=C2 3.45
AcB CC(=O)C1=CC=C(C2=CC=CC=C2)C=C1 4.576
AcP CC(=O)C1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.825
PhN C1=CC=C(C2=CC=CC3=C2C=CC=C3)C=C1 4.477
PhA C1=CC=C(C2=C3C=CC=CC3=CC3=C2C=CC=C3)C=C1 3.46
PhB C1=CC=C(C2=CC3=C4C(=C2)C=CC2=C4C(=CC=C2)C=C3)C=C1 3.807
VinylN C=CC1=CC=CC2=C1C=CC=C2 4.323
VinylA C=CC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.371
VinylB C=CC1=CC=C(C2=CC=CC=C2)C=C1 4.46
VinylP C=CC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.8
CCN C#CC1=CC=CC2=C1C=CC=C2 4.297
CCN C#CC1=C2C=CC=CC2=CC2=C1C=CC=C2 3.255
CCB C#CC1=CC=C(C2=CC=CC=C2)C=C1 4.655
CCP C#CC1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.827
PV29 O=C1NC(=O)C2=C3C1=CC=C1C4=CC=C5C(=O)NC(=O)C6=C5C4=C(C=C6)C(=C31)C=C2 2.509
NDI O=C1NC(=O)C2=C3C1=CC=C1C(=O)NC(=O)C(=C13)C=C2 3.632
H6B3N3 B1NBNBN1 7.999
BenzoFuran C1=CC2=COC=C2C=C1 4.065
C4BNH6 [BH-]1=CC=CC=[NH+]1 5.369
