Molecule smiles gap(eV)
PhC2H C#CC1=CC=CC=C1 5.399
PhC2H2_T C#CC1=CC=C(C#CC2=CC=CC=C2)C=C1 4.644
PhC2H4_T C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=CC=C4)C=C3)C=C2)C=C1 4.527
PhC2H8_T C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=C(C#CC5=CC=C(C#CC6=CC=C(C#CC7=CC=C(C#CC8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 4.503
PhC2H16_T C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=C(C#CC5=CC=C(C#CC6=CC=C(C#CC7=CC=C(C#CC8=CC=C(C#CC9=CC=C(C#CC%10=CC=C(C#CC%11=CC=C(C#CC%12=CC=C(C#CC%13=CC=C(C#CC%14=CC=C(C#CC%15=CC=C(C#CC%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 4.5
PhC2H2_C C#CC1=CC=C(C#CC2=CC=CC=C2)C=C1 4.004
PhC2H4_C C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4=CC=CC=C4)C=C3)C=C2)C=C1 3.219
PhC2H8_C C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4C=CC(C#CC5C=CC(C#CC6C=CC(C#CC7C=CC(C#CC8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 2.879
PhC2H16_C C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4C=CC(C#CC5C=CC(C#CC6C=CC(C#CC7C=CC(C#CC8C=CC(C#CC9C=CC(C#CC%10C=CC(C#CC%11C=CC(C#CC%12C=CC(C#CC%13C=CC(C#CC%14C=CC(C#CC%15C=CC(C#CC%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 2.76
PhC2H32_T C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1 3.651
PhC2H34_T C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1 2.864
PhC2H38_T C=CC1=CC=C(/C=C/[C@H]2C=C[C@H](/C=C/[C@H]3C=C[C@H](/C=C/[C@H]4C=C[C@H](/C=C/[C@H]5C=C[C@H](/C=C/[C@H]6C=C[C@H](/C=C/[C@H]7C=C[C@@H](/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 2.511
PhC2H316_T C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4C=CC(/C=C/C5C=CC(/C=C/C6C=CC(/C=C/C7C=CC(/C=C/C8C=CC(/C=C/C9C=CC(/C=C/C%10C=CC(/C=C/C%11C=CC(/C=C/C%12C=CC(/C=C/C%13C=CC(/C=C/C%14C=CC(/C=C/C%15C=CC(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 2.387
PhC2H32_C C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1 3.676
PhC2H34_C C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1 2.894
PhC2H38_C C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 2.542
PhC2H316_C C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(/C=C/C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(/C=C/C%13=CC=C(/C=C/C%14=CC=C(/C=C/C%15=CC=C(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1 2.416
VC_01_Gas O=C1O[C@H]([C@@H](O)CO)C(O)=C1O 5.587
TEA_01_Gas CCN(CC)CC 6.879
TEOA_01_Gas OCCN(CCO)CCO 6.612
BIH_01_Gas CN1C2=CC=CC=C2N(C)C1C1=CC=CC=C1 3.917
H2SO3_01_Gas O=S(O)O 7.991
Hexatriene C=C/C=C/C=C 4.411
VinylAcetylene C#CC=C 5.716
Styrene C=CC1=CC=CC=C1 5.05
Divinylbenzene C=CC1=CC=C(C=C)C=C1 4.276
DiphenylEthylene C(=C/C1=CC=CC=C1)C1=CC=CC=C1 4.041
DiEthynylbenzene C#CC1=CC=C(C#C)C=C1 4.67
Ethynylbenzene_0 C(#CC1=CC=CC=C1)C1=CC=CC=C1 4.362
Ethynylbenzene_90 C(#CC1=CC=CC=C1)C1=CC=CC=C1 5.355
Biphenyl C1=CC=C(C2=CC=CC=C2)C=C1 5.233
Terphenyl_Cis C1=CC=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C1 4.628
Terphenyl_Trans C1=CC=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C1 4.63
QuarterPhenyl_Cis C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=CC=C4)C=C3)C=C2)C=C1 4.322
Anthracene C1=CC2=C(C=C1)C=C1C=CC=CC1=C2 3.536
Phenanthrene C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2 4.674
Tetraphene C1=CC=C2C=C3C(=CC2=C1)C=CC1=C3C=CC=C1 3.709
Pyrene C1=CC2=C3C(=C1)C=CC1=C3C(=CC=C1)C=C2 3.806
Triphenylene C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=CC=CC=C21 4.837
Tetrahelicene C1=CC2=C(C=C1)C1=C3C=CC=CC3=CC=C1C=C2 4.153
Pentacene C1=CC2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC2C=C1 2.167
Hexacene C1=C2C=CC=CC2=CC2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC12 1.755
Coronene C1=CC2=CC=C3C=CC4=C5C3=C2C2=C3C(=CC=C12)C=CC(=C35)C=C4 3.99
Toluene CC1=CC=CC=C1 6.331
oX CC1=C(C)C=CC=C1 6.311
pX CC1=CC=C(C)C=C1 6.072
iPrPh CC(C)C1=CC=CC=C1 6.346
pDiiPrPh CC(C)C1=CC=C(C(C)C)C=C1 6.102
BnOMe COCC1=CC=CC=C1 6.348
pDiCH2OMe COCC1=CC=C(COC)C=C1 6.149
CF3Ph FC(F)(F)C1=CC=CC=C1 6.375
pDiCF3 FC(F)(F)C1=CC=C(C(F)(F)F)C=C1 6.183
BnCl ClCC1=CC=CC=C1 6.034
pDiCH2Cl ClCC1=CC=C(CCl)C=C1 5.647
CCl3 ClC(Cl)(Cl)C1=CC=CC=C1 5.882
pDiCCl3 ClC(Cl)(Cl)C1=CC=C(C(Cl)(Cl)Cl)C=C1 5.49
PhF FC1=CC=CC=C1 6.238
