Name,smiles
Molecule_66,CCC(=O)C(Nc1ccc(Cl)cc1)NC(Cn1ccnc1)c1ccc(Cl)cc1Cl
Molecule_67,CC(=O)NC[C@H]1CN(c2ccc3[nH]ccc3c2)C(=O)O1
Molecule_68,Nc1nc2c(ncn2[C@@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
Molecule_69,CCCNc1cc(C)cc(NC(=O)c2c(F)cccc2F)c1
Molecule_70,CC(C)c1ccc(N/N=C2\CCC(C)n3c2ncc(C(=O)O)c3=O)cc1
Molecule_71,NCc1cccc(Cl)c1
Molecule_72,CCOc1ccc(NC(=O)C(CN(C)C)N(C)C)cc1OCC
Molecule_73,Nc1ccc(Cc2cnc(N)nc2N)cc1
Molecule_74,O=C(Cc1ccc(Cl)cc1)NCCNCC(O)c1ccccc1
Molecule_75,O=C(NCCCn1ccnc1)c1cc(Br)c(Br)s1
Molecule_76,N#Cc1ccc(NC2=C(Cl)C(=O)c3cccnc3C2=O)cc1
Molecule_77,NC(=O)[C@@H](Cc1ccc2ccccc2c1)NCc1c[nH]c2ccccc12
Molecule_78,Cn1c(=O)c2c(nc3n(Cc4ccc(F)cc4)c(O)c(Cc4ccccc4)c(=O)n23)n(C)c1=O
Molecule_79,CN1C(=O)CC[C@]2(C)C3CC[C@@]4(C)C(CC[C@@]4(O)C#CCCCBr)C3CCC12
Molecule_80,CC(Nc1nc2c(S(=O)(=O)c3ccccc3)nnn2c2ccsc12)C12CC3CC(CC(C3)C1)C2
Molecule_81,COc1ccc(COC2c3c(ncn3Cc3ccc(OC)cc3)N=CN(C)N2C)cc1
Molecule_82,N#C/N=C1\N(CCCCCCCOc2ccc(Cl)cc2)C(=O)CN1c1ccncc1
Molecule_83,CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2
Molecule_84,COc1ccc(CCN2CCC(COC(c3ccccc3)c3ccccc3)CC2)cc1
Molecule_85,Oc1nc2ccc(Cc3ccc(F)cc3)cc2o1
Molecule_86,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2Br)C1
Molecule_87,CCc1cc(C#N)ccc1C/N=c1\c(O)c(O)\c1=N/[C@H](C)C(C)(C)C
Molecule_88,CCCc1ccc2nc(O)oc2c1
Molecule_89,CC[C@H](C)c1ccccc1OCCCCN(CC)CC
Molecule_90,COC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)NCC#Cc1c[nH]cn1)C(c1ccccc1)c1ccccc1
Molecule_91,Fc1cccc(Cl)c1Cn1nncc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1
Molecule_92,CC(C)(C)C(=O)Oc1ccc(Cc2ccc(OC(=O)C(C)(C)C)cc2)cc1
Molecule_93,O=C1CS(=O)(=O)Nc2cc(OCc3ccc4ccccc4n3)ccc21
Molecule_94,CC1CCC(=NNc2ccccn2)c2ncc(C(=O)O)c(=O)n21
Molecule_95,O=c1[nH]c(=O)n(COC(CO)CO)cc1Cc1cccc(Oc2ccccc2)c1
Molecule_96,O=C(NC1CCCCC1)c1cccnc1NC1CCCCC1
Molecule_97,COc1cccc(NC(=O)/C=C/c2ccc(O)c(O)c2)c1
Molecule_98,COc1ccc2c(c1)c(CCN(C)C)cn2C(C)C
Molecule_99,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
Molecule_100,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
Molecule_101,C=CCOC(=O)C1=C(C)N=C(C)/C(=C(\O)OCC=C)C1c1ccc(OC)c(OC)c1
Molecule_102,C=CC[C@@](C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCCCC
Molecule_103,CN1CCC(C2=Cc3cc(Cl)ccc3Cc3ccccc32)CC1
Molecule_104,Cc1ccccc1C(OCC(O)CN1C(C)CCCC1C)c1ccccc1
Molecule_105,CN(C)c1ncnc2c1ncn2Cc1cccc(C(F)(F)F)c1
Molecule_106,CN1C[C@H](C(=O)Nc2ccc(Cl)nn2)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
Molecule_107,CCCNCCCNCCCCNCCCNCCC
Molecule_108,O=C(CCc1ccccc1O)CC(O)Cc1ccccc1
Molecule_109,C=C1CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12
Molecule_110,CN1[C@@H]2CC[C@H]1C[C@H](N(c1ccccc1)c1ccc(C(=O)N3CCCC3)cc1)C2
Molecule_111,O=c1[nH]c(=O)n(COCCO)cc1Cc1cccc(Oc2ccc(F)cc2)c1
Molecule_112,NCC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1
Molecule_113,CC(C)C(c1cccc(NS(=O)(=O)c2cccnc2)c1)c1c(O)c2c(oc1=O)CCCCCC2
Molecule_114,COc1ccc(Cc2nc3ccccc3c3nc(N)nn23)cc1
Molecule_115,CCCCCCCCCCCC(=O)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1
Molecule_116,CC(CCc1ccccc1)NCC(O)c1cc(C(N)=O)c2c(ccn2C)c1
Molecule_117,O=C(O)CCCCCCCNC(=O)c1cc(Br)ccc1O
Molecule_118,COc1ccc(Sc2ccc(CC3=NCCN3)cc2)cc1
Molecule_119,COc1ccc(Cc2cnc(N)nc2N)cc1
Molecule_120,CC(=O)SCC1CCCN(C(C(=O)O)c2ccccc2)C1=O
Molecule_121,C[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C
Molecule_122,O=C1c2ccccc2C(=O)N1OCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1
Molecule_123,O=C1OCC2=C1C(c1cc(Br)ccc1O)c1c(c3cccnc3c3ncccc13)N2
Molecule_124,CCNc1cccnc1N1CCN(C(=O)c2cccc3[nH]ccc23)CC1
Molecule_125,CC1CC/C(=N\Nc2cccc(C(=O)O)c2)c2nccc(=O)n21
Molecule_126,c1ccc2cc(CC3=NCCN3)ccc2c1
Molecule_127,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2CC[C@@H]1O
Molecule_128,O=C(CCCOc1ccc2c(c1)CCC(=O)N2)NO
Molecule_129,CC(C)CC1=N/C(=C\c2ccc(F)cc2)C(=O)NC1=O
Molecule_130,O=c1oc2ccccc2c2cc(O)c(O)cc12
Molecule_131,Clc1ccc(NC23CC4CC(CC(C4)C2)C3)cn1
Molecule_132,O=C(O)Cc1ccc2c(c1)C(=O)Cc1cc(Cl)ccc1O2
Molecule_133,CCC/N=c1\c(O)c(O)\c1=N/c1cccnc1
Molecule_134,CC1(C)OC(/C=C/c2ccc(F)cc2F)=CC1=O
Molecule_135,Cc1nc(N(C)C(=O)c2ccc(C(=N)N)cc2)sc1CCC(=O)O
Molecule_136,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc(C(C)C)c(C(C)C)c1
Molecule_137,NC(=S)NNC(c1ccc(O)cc1)n1cnnn1
Molecule_138,C=CCNC(=O)N[C@H]1CC[C@](CNC(=O)c2ccccc2OC)(c2ccccc2)CC1
Molecule_139,Cc1cccc(N2CCN(CCCON3C(=O)c4ccccc4C3=O)CC2)c1
Molecule_140,O=c1[nH]oc(=O)[nH]1
Molecule_141,Cc1ccc(C2=NN(CN3CCCCC3)C(=O)CC2)cc1
Molecule_142,CCCc1ccc(OCC(=O)NCCCNC(=O)C2=CC(C)(C)NC2(C)C)c(OC)c1
Molecule_143,Cc1ccc(NC(=O)Nc2ccccc2)c(C)c1
Molecule_144,CCN(CC)c1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1
Molecule_145,C=CCNC(=O)C(Cc1ccccc1)NC(C)=O
Molecule_146,C[C@@]1(N2C(=O)c3c(F)c(F)c(F)c(F)c3C2=O)CCC(=O)NC1=O
Molecule_147,CCOc1cccc2c1CCC[C@H]2CN(C)CCc1ccc2c(c1)OCO2
Molecule_148,NC(=O)c1cccc(NC(=O)CCCCC(=O)Nc2cccc(C(N)=O)c2)c1
Molecule_149,CC(=O)N(C)C[C@H]1CC[C@H](Nc2nc(Nc3ccc(Cl)cc3)c3ccccc3n2)CC1
Molecule_150,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@H]3O[C@@H](Cc4ccccc4)O[C@H]32)c(=O)n1
Molecule_151,C[C@H](CS)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O
Molecule_152,NCc1ccc2nc(N)nc(N)c2c1
Molecule_153,CCN(CC)S(=O)(=O)c1cc(S(=O)(=O)N(CC)CC)c2ccc(C)nc2c1O
Molecule_154,OCCn1c2ccccc2c2cncn21
Molecule_155,Cc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1
Molecule_156,CN1CCN(NC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
Molecule_157,CCCC(=O)Nc1ccc(N(C)c2cccc3c2CCO3)cc1
Molecule_158,O=C(c1ccccc1)C(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl
Molecule_159,CCOc1ccc(NC(C)=O)cc1
Molecule_160,NS(=O)(=O)c1ccccc1NSC(=S)N1CCOCC1
Molecule_161,COC(=O)[C@@H](NC(=O)CSC1=C(OC)C(=O)c2ccccc2C1=O)C(C)C
Molecule_162,c1ccc2nc(CCCCN3CCc4c([nH]c5ccccc45)C3)ccc2c1
Molecule_163,c1coc(C2CN3CCC2CC3)c1
